,kboTIME,RA,DEC
0,2433282.221095834,148.50331,23.84733
1,2433283.221159249,148.49113,23.85532
2,2433284.221221334,148.47867,23.86335
3,2433285.22128207,148.46596,23.87142
4,2433286.2213414386,148.45299,23.87952
5,2433287.2213994213,148.43976,23.88764
6,2433288.2214559997,148.42628,23.8958
7,2433289.2215111554,148.41256,23.90398
8,2433290.22156487,148.3986,23.91218
9,2433291.221617125,148.38441,23.9204
10,2433292.2216679016,148.36998,23.92864
11,2433293.2217171807,148.35533,23.93689
12,2433294.2217649445,148.34047,23.94516
13,2433295.2218111744,148.32538,23.95343
14,2433296.2218558523,148.31009,23.96172
15,2433297.2218989613,148.2946,23.97
16,2433298.2219404844,148.27891,23.97829
17,2433299.221980406,148.26303,23.98658
18,2433300.222018712,148.24697,23.99486
19,2433301.222055389,148.23073,24.00313
20,2433302.222090425,148.21432,24.0114
21,2433303.222123808,148.19775,24.01965
22,2433304.2221555286,148.18102,24.02788
23,2433305.222185577,148.16414,24.0361
24,2433306.2222139444,148.14711,24.0443
25,2433307.222240623,148.12995,24.05247
26,2433308.2222656063,148.11266,24.06061
27,2433309.2222888875,148.09525,24.06873
28,2433310.222310461,148.07772,24.07681
29,2433311.222330321,148.06008,24.08486
30,2433312.2223484637,148.04233,24.09287
31,2433313.222364885,148.02449,24.10084
32,2433314.22237958,148.00656,24.10877
33,2433315.2223925465,147.98855,24.11666
34,2433316.222403781,147.97045,24.1245
35,2433317.22241328,147.95229,24.13229
36,2433318.2224210403,147.93406,24.14003
37,2433319.222427058,147.91577,24.14771
38,2433320.2224313305,147.89743,24.15535
39,2433321.222433854,147.87904,24.16292
40,2433322.222434626,147.86062,24.17043
41,2433323.222433644,147.84216,24.17788
42,2433324.222430906,147.82368,24.18527
43,2433325.2224264117,147.80518,24.19259
44,2433326.2224201607,147.78667,24.19983
45,2433327.222412155,147.76816,24.20701
46,2433328.222402396,147.74966,24.21411
47,2433329.222390888,147.73116,24.22114
48,2433330.222377634,147.71268,24.22808
49,2433331.2223626412,147.69424,24.23494
50,2433332.2223459147,147.67582,24.24172
51,2433333.2223274624,147.65745,24.24842
52,2433334.222307292,147.63912,24.25502
53,2433335.2222854123,147.62085,24.26154
54,2433336.222261832,147.60264,24.26796
55,2433337.222236562,147.5845,24.27429
56,2433338.222209613,147.56644,24.28052
57,2433339.2221809947,147.54845,24.28666
58,2433340.2221507193,147.53056,24.2927
59,2433341.2221187986,147.51276,24.29864
60,2433342.2220852454,147.49507,24.30447
61,2433343.2220500717,147.47748,24.31021
62,2433344.2220132896,147.46,24.31583
63,2433345.221974911,147.44265,24.32136
64,2433346.221934949,147.42542,24.32677
65,2433347.2218934144,147.40832,24.33207
66,2433348.2218503193,147.39135,24.33727
67,2433349.2218056754,147.37453,24.34235
68,2433350.221759495,147.35786,24.34732
69,2433351.221711791,147.34134,24.35218
70,2433352.221662577,147.32499,24.35692
71,2433353.221611867,147.3088,24.36155
72,2433354.2215596773,147.29279,24.36605
73,2433355.221506023,147.27696,24.37044
74,2433356.2214509216,147.26131,24.3747
75,2433357.221394392,147.24585,24.37885
76,2433358.2213364523,147.23059,24.38287
77,2433359.2212771224,147.21554,24.38676
78,2433360.221216423,147.2007,24.39053
79,2433361.2211543745,147.18607,24.39418
80,2433362.2210909985,147.17166,24.39769
81,2433363.2210263177,147.15748,24.40108
82,2433364.2209603535,147.14352,24.40434
83,2433365.2208931297,147.12981,24.40747
84,2433366.2208246686,147.11633,24.41048
85,2433367.2207549945,147.1031,24.41335
86,2433368.2206841297,147.09012,24.41609
87,2433369.2206120994,147.07739,24.4187
88,2433370.2205389263,147.06493,24.42118
89,2433371.2204646342,147.05272,24.42353
90,2433372.220389247,147.04078,24.42574
91,2433373.220312787,147.0291,24.42783
92,2433374.220235278,147.0177,24.42978
93,2433375.2201567404,147.00658,24.4316
94,2433376.2200771975,146.99574,24.43329
95,2433377.2199966703,146.98518,24.43485
96,2433378.219915181,146.9749,24.43627
97,2433379.2198327524,146.96492,24.43757
98,2433380.2197494074,146.95523,24.43873
99,2433381.21966517,146.94584,24.43975
100,2433382.219580066,146.93676,24.44065
101,2433383.2194941198,146.92797,24.44141
102,2433384.2194073577,146.9195,24.44204
103,2433385.219319807,146.91134,24.44253
104,2433386.219231494,146.90349,24.4429
105,2433387.2191424468,146.89597,24.44313
106,2433388.219052694,146.88876,24.44322
107,2433389.218962263,146.88188,24.44319
108,2433390.2188711828,146.87532,24.44302
109,2433391.2187794824,146.86909,24.44272
110,2433392.218687191,146.86319,24.4423
111,2433393.2185943373,146.85763,24.44174
112,2433394.2185009504,146.8524,24.44105
113,2433395.2184070596,146.84751,24.44023
114,2433396.218312693,146.84295,24.43928
115,2433397.21821788,146.83873,24.43821
116,2433398.218122649,146.83486,24.43701
117,2433399.218027028,146.83132,24.43569
118,2433400.217931044,146.82812,24.43424
119,2433401.2178347246,146.82527,24.43266
120,2433402.2177380966,146.82276,24.43096
121,2433403.2176411846,146.82059,24.42914
122,2433404.217544014,146.81877,24.4272
123,2433405.2174466103,146.81729,24.42514
124,2433406.217348998,146.81616,24.42296
125,2433407.217251203,146.81538,24.42066
126,2433408.217153251,146.81494,24.41825
127,2433409.2170551694,146.81485,24.41571
128,2433410.2169569847,146.8151,24.41306
129,2433411.216858725,146.81571,24.41029
130,2433412.216760418,146.81667,24.40741
131,2433413.2166620926,146.81797,24.40442
132,2433414.216563777,146.81963,24.40131
133,2433415.2164655,146.82163,24.3981
134,2433416.2163672918,146.82399,24.39477
135,2433417.2162691797,146.82669,24.39133
136,2433418.2161711934,146.82975,24.38779
137,2433419.2160733617,146.83315,24.38413
138,2433420.215975714,146.8369,24.38038
139,2433421.2158782776,146.841,24.37652
140,2433422.2157810824,146.84544,24.37255
141,2433423.215684155,146.85022,24.36849
142,2433424.215587524,146.85535,24.36433
143,2433425.2154912166,146.86082,24.36006
144,2433426.215395259,146.86663,24.35571
145,2433427.215299678,146.87278,24.35126
146,2433428.2152044987,146.87926,24.34671
147,2433429.2151097455,146.88608,24.34207
148,2433430.215015442,146.89322,24.33735
149,2433431.2149216123,146.9007,24.33253
150,2433432.214828278,146.90851,24.32763
151,2433433.214735462,146.91664,24.32264
152,2433434.2146431864,146.92509,24.31757
153,2433435.214551474,146.93387,24.31242
154,2433436.2144603473,146.94296,24.30719
155,2433437.21436983,146.95238,24.30187
156,2433438.214279947,146.96211,24.29648
157,2433439.214190721,146.97216,24.29101
158,2433440.2141021774,146.98252,24.28546
159,2433441.2140143407,146.99319,24.27984
160,2433442.2139272355,147.00417,24.27415
161,2433443.213840886,147.01546,24.26839
162,2433444.213755317,147.02705,24.26256
163,2433445.2136705527,147.03894,24.25666
164,2433446.213586617,147.05113,24.2507
165,2433447.2135035335,147.06361,24.24467
166,2433448.2134213266,147.07638,24.23858
167,2433449.213340019,147.08945,24.23243
168,2433450.2132596336,147.10279,24.22622
169,2433451.2131801923,147.11642,24.21996
170,2433452.2131017167,147.13033,24.21364
171,2433453.2130242283,147.14452,24.20727
172,2433454.2129477467,147.15897,24.20085
173,2433455.2128722924,147.17369,24.19438
174,2433456.212797883,147.18867,24.18786
175,2433457.2127245367,147.20391,24.1813
176,2433458.212652271,147.21941,24.17469
177,2433459.212581102,147.23516,24.16805
178,2433460.212511045,147.25115,24.16136
179,2433461.2124421163,147.26739,24.15464
180,2433462.212374331,147.28387,24.14788
181,2433463.2123077046,147.30058,24.14109
182,2433464.2122422536,147.31753,24.13427
183,2433465.2121779947,147.3347,24.12741
184,2433466.2121149437,147.35211,24.12053
185,2433467.2120531183,147.36973,24.11362
186,2433468.211992535,147.38758,24.10668
187,2433469.211933211,147.40563,24.09972
188,2433470.2118751635,147.4239,24.09274
189,2433471.211818408,147.44238,24.08574
190,2433472.2117629624,147.46105,24.07872
191,2433473.211708842,147.47993,24.07168
192,2433474.2116560624,147.499,24.06463
193,2433475.211604639,147.51826,24.05757
194,2433476.211554587,147.5377,24.05049
195,2433477.2115059206,147.55732,24.04341
196,2433478.2114586546,147.57712,24.03632
197,2433479.211412801,147.59709,24.02923
198,2433480.211368373,147.61722,24.02213
199,2433481.2113253823,147.63751,24.01504
200,2433482.21128384,147.65796,24.00795
201,2433483.211243755,147.67856,24.00086
202,2433484.2112051374,147.6993,23.99378
203,2433485.211167995,147.72018,23.9867
204,2433486.211132335,147.7412,23.97964
205,2433487.2110981643,147.76235,23.97258
206,2433488.2110654903,147.78362,23.96555
207,2433489.211034318,147.80501,23.95852
208,2433490.2110046544,147.82651,23.95152
209,2433491.2109765057,147.84813,23.94453
210,2433492.210949878,147.86985,23.93757
211,2433493.210924779,147.89167,23.93062
212,2433494.210901215,147.9136,23.9237
213,2433495.2108791936,147.93561,23.91681
214,2433496.2108587218,147.95771,23.90995
215,2433497.2108398066,147.9799,23.90311
216,2433498.2108224547,148.00216,23.8963
217,2433499.2108066725,148.0245,23.88953
218,2433500.2107924665,148.0469,23.8828
219,2433501.2107798415,148.06937,23.8761
220,2433502.210768804,148.09189,23.86944
221,2433503.210759358,148.11447,23.86281
222,2433504.210751508,148.1371,23.85624
223,2433505.2107452573,148.15976,23.84971
224,2433506.21074061,148.18246,23.84322
225,2433507.2107375683,148.2052,23.83678
226,2433508.2107361327,148.22795,23.8304
227,2433509.2107363045,148.25073,23.82406
228,2433510.2107380833,148.27352,23.81778
229,2433511.2107414673,148.29632,23.81156
230,2433512.210746454,148.31912,23.8054
231,2433513.210753041,148.34191,23.79929
232,2433514.210761224,148.3647,23.79325
233,2433515.2107709986,148.38747,23.78727
234,2433516.210782361,148.41022,23.78136
235,2433517.210795306,148.43295,23.77552
236,2433518.2108098296,148.45565,23.76974
237,2433519.210825927,148.47831,23.76403
238,2433520.2108435943,148.50094,23.7584
239,2433521.2108628266,148.52352,23.75284
240,2433522.21088362,148.54605,23.74735
241,2433523.2109059715,148.56853,23.74194
242,2433524.2109298757,148.59095,23.7366
243,2433525.2109553292,148.61331,23.73135
244,2433526.210982327,148.63559,23.72617
245,2433527.2110108635,148.6578,23.72108
246,2433528.2110409345,148.67994,23.71608
247,2433529.2110725334,148.70198,23.71115
