,kboTIME,RA,DEC
0,2433282.251415952,273.17182,-22.77545
1,2433283.251433714,273.20039,-22.77532
2,2433284.2514531626,273.2289,-22.77518
3,2433285.2514742934,273.25733,-22.77503
4,2433286.251497101,273.28569,-22.77487
5,2433287.2515215795,273.31396,-22.77471
6,2433288.2515477235,273.34214,-22.77453
7,2433289.2515755277,273.37023,-22.77435
8,2433290.2516049873,273.39821,-22.77417
9,2433291.251636096,273.42608,-22.77398
10,2433292.2516688476,273.45384,-22.77378
11,2433293.2517032363,273.48146,-22.77357
12,2433294.251739255,273.50896,-22.77336
13,2433295.251776897,273.53632,-22.77315
14,2433296.251816152,273.56353,-22.77292
15,2433297.251857012,273.59058,-22.7727
16,2433298.251899465,273.61748,-22.77246
17,2433299.2519435002,273.64421,-22.77223
18,2433300.2519891043,273.67076,-22.77198
19,2433301.2520362632,273.69713,-22.77174
20,2433302.252084962,273.7233,-22.77149
21,2433303.2521351865,273.74928,-22.77123
22,2433304.2521869196,273.77506,-22.77098
23,2433305.252240145,273.80063,-22.77072
24,2433306.252294847,273.82598,-22.77046
25,2433307.252351007,273.8511,-22.77019
26,2433308.2524086083,273.876,-22.76993
27,2433309.252467633,273.90067,-22.76966
28,2433310.2525280635,273.92509,-22.76939
29,2433311.2525898814,273.94926,-22.76912
30,2433312.2526530684,273.97319,-22.76885
31,2433313.252717606,273.99685,-22.76858
32,2433314.252783476,274.02026,-22.76831
33,2433315.2528506597,274.04339,-22.76804
34,2433316.25291914,274.06625,-22.76777
35,2433317.252988898,274.08884,-22.76751
36,2433318.2530599167,274.11114,-22.76724
37,2433319.253132178,274.13315,-22.76698
38,2433320.253205663,274.15486,-22.76671
39,2433321.2532803533,274.17628,-22.76645
40,2433322.25335623,274.19738,-22.7662
41,2433323.2534332727,274.21818,-22.76594
42,2433324.2535114605,274.23866,-22.76569
43,2433325.253590772,274.25882,-22.76544
44,2433326.2536711833,274.27865,-22.76519
45,2433327.253752671,274.29814,-22.76495
46,2433328.2538352115,274.3173,-22.76471
47,2433329.253918779,274.33611,-22.76448
48,2433330.254003348,274.35458,-22.76425
49,2433331.2540888917,274.37269,-22.76403
50,2433332.2541753836,274.39044,-22.76381
51,2433333.2542627975,274.40783,-22.7636
52,2433334.254351106,274.42486,-22.7634
53,2433335.254440282,274.44151,-22.7632
54,2433336.254530298,274.45779,-22.76301
55,2433337.254621127,274.4737,-22.76283
56,2433338.2547127423,274.48922,-22.76265
57,2433339.254805115,274.50436,-22.76249
58,2433340.2548982194,274.51911,-22.76233
59,2433341.254992028,274.53348,-22.76218
60,2433342.2550865137,274.54745,-22.76203
61,2433343.2551816506,274.56102,-22.7619
62,2433344.255277412,274.5742,-22.76178
63,2433345.2553737727,274.58698,-22.76166
64,2433346.255470707,274.59935,-22.76156
65,2433347.25556819,274.61132,-22.76147
66,2433348.255666196,274.62288,-22.76138
67,2433349.255764699,274.63403,-22.76131
68,2433350.2558636726,274.64477,-22.76124
69,2433351.25596309,274.65508,-22.76119
70,2433352.2560629225,274.66499,-22.76115
71,2433353.256163142,274.67446,-22.76112
72,2433354.256263719,274.68352,-22.76109
73,2433355.256364624,274.69215,-22.76109
74,2433356.2564658266,274.70035,-22.76109
75,2433357.2565672956,274.70811,-22.7611
76,2433358.2566690007,274.71545,-22.76113
77,2433359.2567709107,274.72236,-22.76117
78,2433360.256872994,274.72882,-22.76122
79,2433361.2569752196,274.73486,-22.76129
80,2433362.257077557,274.74046,-22.76136
81,2433363.2571799746,274.74562,-22.76146
82,2433364.257282442,274.75034,-22.76156
83,2433365.257384929,274.75463,-22.76168
84,2433366.257487404,274.75848,-22.76181
85,2433367.257589839,274.76189,-22.76195
86,2433368.257692203,274.76487,-22.76211
87,2433369.257794467,274.76741,-22.76229
88,2433370.2578966026,274.76951,-22.76247
89,2433371.2579985815,274.77118,-22.76267
90,2433372.2581003765,274.77242,-22.76289
91,2433373.2582019605,274.77322,-22.76312
92,2433374.258303307,274.77359,-22.76336
93,2433375.25840439,274.77353,-22.76362
94,2433376.258505183,274.77305,-22.76389
95,2433377.2586056604,274.77213,-22.76417
96,2433378.2587057943,274.77078,-22.76447
97,2433379.2588055586,274.769,-22.76478
98,2433380.2589049237,274.7668,-22.76511
99,2433381.2590038623,274.76417,-22.76545
100,2433382.2591023445,274.76112,-22.76581
101,2433383.2592003415,274.75764,-22.76618
102,2433384.259297824,274.75374,-22.76656
103,2433385.259394763,274.74942,-22.76696
104,2433386.2594911284,274.74468,-22.76737
105,2433387.259586892,274.73952,-22.7678
106,2433388.2596820244,274.73395,-22.76824
107,2433389.259776497,274.72797,-22.76869
108,2433390.259870282,274.72159,-22.76916
109,2433391.259963351,274.71479,-22.76964
110,2433392.2600556766,274.7076,-22.77014
111,2433393.260147232,274.70001,-22.77065
112,2433394.2602379913,274.69202,-22.77117
113,2433395.2603279282,274.68365,-22.77171
114,2433396.2604170176,274.67489,-22.77226
115,2433397.260505235,274.66574,-22.77283
116,2433398.2605925556,274.65622,-22.77341
117,2433399.2606789577,274.64632,-22.774
118,2433400.260764418,274.63606,-22.7746
119,2433401.2608489157,274.62543,-22.77522
120,2433402.260932429,274.61443,-22.77585
121,2433403.261014938,274.60309,-22.77649
122,2433404.261096422,274.59139,-22.77715
123,2433405.261176861,274.57934,-22.77781
124,2433406.2612562333,274.56694,-22.77849
125,2433407.2613345184,274.55421,-22.77918
126,2433408.2614116934,274.54114,-22.77989
127,2433409.2614877373,274.52773,-22.7806
128,2433410.261562627,274.514,-22.78132
129,2433411.26163634,274.49995,-22.78206
130,2433412.261708855,274.48558,-22.78281
131,2433413.2617801502,274.47089,-22.78356
132,2433414.261850204,274.4559,-22.78433
133,2433415.2619189946,274.44061,-22.78511
134,2433416.2619865024,274.42502,-22.7859
135,2433417.262052707,274.40914,-22.7867
136,2433418.2621175884,274.39298,-22.78751
137,2433419.2621811284,274.37654,-22.78833
138,2433420.2622433077,274.35983,-22.78916
139,2433421.26230411,274.34285,-22.78999
140,2433422.2623635177,274.32561,-22.79084
141,2433423.2624215144,274.30813,-22.7917
142,2433424.2624780852,274.29039,-22.79256
143,2433425.262533216,274.27242,-22.79344
144,2433426.2625868926,274.25422,-22.79432
145,2433427.262639102,274.2358,-22.79521
146,2433428.262689833,274.21716,-22.7961
147,2433429.262739074,274.19831,-22.79701
148,2433430.262786815,274.17925,-22.79792
149,2433431.262833045,274.16,-22.79884
150,2433432.262877755,274.14056,-22.79976
151,2433433.2629209347,274.12093,-22.80069
152,2433434.2629625737,274.10113,-22.80163
153,2433435.263002662,274.08115,-22.80257
154,2433436.263041188,274.06101,-22.80352
155,2433437.2630781406,274.04071,-22.80447
156,2433438.2631135094,274.02026,-22.80543
157,2433439.263147283,273.99967,-22.8064
158,2433440.2631794508,273.97893,-22.80736
159,2433441.2632100033,273.95807,-22.80834
160,2433442.2632389306,273.93708,-22.80931
161,2433443.263266224,273.91598,-22.8103
162,2433444.263291875,273.89477,-22.81128
163,2433445.2633158755,273.87346,-22.81227
164,2433446.263338219,273.85206,-22.81327
165,2433447.263358899,273.83058,-22.81426
166,2433448.2633779105,273.80902,-22.81526
167,2433449.2633952475,273.78739,-22.81627
168,2433450.2634109072,273.76569,-22.81727
169,2433451.2634248864,273.74395,-22.81828
170,2433452.2634371826,273.72217,-22.81929
171,2433453.263447795,273.70035,-22.82031
172,2433454.2634567227,273.6785,-22.82132
173,2433455.263463967,273.65663,-22.82234
174,2433456.2634695284,273.63475,-22.82336
175,2433457.263473409,273.61286,-22.82438
176,2433458.263475612,273.59098,-22.8254
177,2433459.2634761394,273.56911,-22.82642
178,2433460.263474995,273.54726,-22.82744
179,2433461.263472181,273.52543,-22.82846
180,2433462.2634676998,273.50364,-22.82948
181,2433463.2634615544,273.48188,-22.8305
182,2433464.263453746,273.46017,-22.83152
183,2433465.263444278,273.43852,-22.83255
184,2433466.263433151,273.41692,-22.83357
185,2433467.263420368,273.3954,-22.83459
186,2433468.263405932,273.37394,-22.83561
187,2433469.2633898463,273.35257,-22.83662
188,2433470.263372114,273.33129,-22.83764
189,2433471.2633527406,273.31011,-22.83866
190,2433472.263331731,273.28903,-22.83967
191,2433473.2633090904,273.26807,-22.84069
192,2433474.2632848267,273.24723,-22.8417
193,2433475.2632589457,273.22652,-22.84271
194,2433476.2632314563,273.20594,-22.84372
195,2433477.2632023674,273.18551,-22.84473
196,2433478.263171688,273.16523,-22.84574
197,2433479.2631394295,273.1451,-22.84674
198,2433480.263105603,273.12515,-22.84774
199,2433481.2630702206,273.10537,-22.84874
200,2433482.2630332955,273.08578,-22.84974
201,2433483.262994842,273.06637,-22.85073
202,2433484.262954875,273.04716,-22.85172
203,2433485.2629134078,273.02815,-22.85271
204,2433486.262870457,273.00935,-22.8537
205,2433487.262826038,272.99076,-22.85468
206,2433488.2627801653,272.9724,-22.85566
207,2433489.2627328546,272.95426,-22.85663
208,2433490.2626841203,272.93636,-22.8576
209,2433491.2626339775,272.91869,-22.85857
210,2433492.2625824395,272.90128,-22.85954
211,2433493.2625295212,272.88411,-22.8605
212,2433494.2624752373,272.86719,-22.86145
213,2433495.262419602,272.85054,-22.86241
214,2433496.2623626296,272.83416,-22.86336
215,2433497.2623043363,272.81805,-22.8643
216,2433498.262244738,272.80222,-22.86524
217,2433499.2621838516,272.78667,-22.86618
218,2433500.262121693,272.77142,-22.86711
219,2433501.262058282,272.75646,-22.86804
220,2433502.2619936345,272.74181,-22.86897
221,2433503.2619277714,272.72747,-22.86989
222,2433504.261860712,272.71344,-22.87081
223,2433505.261792476,272.69973,-22.87172
224,2433506.261723085,272.68635,-22.87263
225,2433507.2616525604,272.6733,-22.87353
226,2433508.261580926,272.66058,-22.87443
227,2433509.261508204,272.64821,-22.87533
228,2433510.26143442,272.63619,-22.87622
